"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 03- 14","16,128.53","16,209.19","16,245.32","16,039.68","1.18B","-0.30%"
"2024- 03- 13","16,177.77","16,220.11","16,233.29","16,143.34","1.09B","-0.54%"
"2024- 03- 12","16,265.64","16,116.98","16,275.45","15,992.98","1.02B","1.54%"
"2024- 03- 11","16,019.27","16,052.63","16,085.95","15,978.04","970.77M","-0.41%"
"2024- 03- 08","16,085.11","16,322.10","16,449.70","16,059.50","1.09B","-1.16%"
"2024- 03- 07","16,273.38","16,147.32","16,309.02","16,096.01","1.03B","1.51%"
"2024- 03- 06","16,031.54","16,092.00","16,128.56","15,956.66","1.11B","0.58%"
"2024- 03- 05","15,939.59","16,077.74","16,087.57","15,862.63","1.16B","-1.65%"
"2024- 03- 04","16,207.51","16,264.21","16,289.06","16,199.06","1.17B","-0.41%"
"2024- 03- 01","16,274.94","16,109.83","16,302.24","16,096.60","1.10B","1.14%"
"2024- 02- 29","16,091.92","16,059.34","16,115.96","15,931.70","1.65B","0.90%"
"2024- 02- 28","15,947.74","15,969.14","16,003.56","15,924.72","1.10B","-0.55%"
"2024- 02- 27","16,035.30","16,013.98","16,046.10","15,940.51","1.10B","0.37%"
"2024- 02- 26","15,976.25","16,014.45","16,054.90","15,973.90","1.06B","-0.13%"
"2024- 02- 23","15,996.82","16,094.80","16,134.22","15,954.50","1.00B","-0.28%"
"2024- 02- 22","16,041.62","15,904.48","16,061.82","15,869.24","1.14B","2.96%"
"2024- 02- 21","15,580.87","15,532.12","15,583.68","15,451.65","984.02M","-0.32%"
"2024- 02- 20","15,630.78","15,679.84","15,730.47","15,508.50","1.10B","-0.92%"
"2024- 02- 16","15,775.65","15,910.43","15,917.41","15,752.02","1.12B","-0.82%"
"2024- 02- 15","15,906.17","15,865.30","15,911.22","15,779.71","1.22B","0.30%"
"2024- 02- 14","15,859.15","15,781.71","15,865.51","15,683.94","1.08B","1.30%"
"2024- 02- 13","15,655.60","15,598.88","15,770.42","15,551.44","1.21B","-1.80%"
