날짜,날씨 상태
2025-01-21,구름 조금
2025-01-22,비
2025-01-23,맑음
2025-01-24,맑음
2025-01-25,맑음
2025-01-26,흐림
2025-01-27,눈
2025-01-28,눈
2025-01-29,흐림
2025-01-30,흐림
2025-01-31,눈
