market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BTC,2024-07-25 00:00:00+00:00,2024-07-25 09:00:00,91501000.0,93138000.0,89202000.0,92465000.0,1721951999780,384022678969.55927,4242.34259951,91501000.0,964000.0,0.010535404
KRW-BTC,2024-07-26 00:00:00+00:00,2024-07-26 09:00:00,92475000.0,95000000.0,92286000.0,94727000.0,1722038399954,306215486613.3734,3254.87216648,92465000.0,2262000.0,0.0244633104
KRW-BTC,2024-07-27 00:00:00+00:00,2024-07-27 09:00:00,94639000.0,96813000.0,93150000.0,94292000.0,1722124799795,467925032426.02423,4913.83842022,94727000.0,-435000.0,-0.0045921437
KRW-BTC,2024-07-28 00:00:00+00:00,2024-07-28 09:00:00,94341000.0,95380000.0,93600000.0,95363000.0,1722211199753,194537737710.59518,2056.69856884,94292000.0,1071000.0,0.0113583337
KRW-BTC,2024-07-29 00:00:00+00:00,2024-07-29 09:00:00,95363000.0,97100000.0,93203000.0,93618000.0,1722297600020,456579708586.51715,4778.70828116,95363000.0,-1745000.0,-0.0182985015
KRW-BTC,2024-07-30 00:00:00+00:00,2024-07-30 09:00:00,93605000.0,93878000.0,91825000.0,92788000.0,1722383999270,262705366724.15695,2825.61883321,93618000.0,-830000.0,-0.0088658164
KRW-BTC,2024-07-31 00:00:00+00:00,2024-07-31 09:00:00,92790000.0,93298000.0,90345000.0,90345000.0,1722470399543,284977850977.3531,3099.02844262,92788000.0,-2443000.0,-0.0263288356
KRW-BTC,2024-08-01 00:00:00+00:00,2024-08-01 09:00:00,90346000.0,92300000.0,88001000.0,91789000.0,1722556799941,454095059912.4309,5048.04552891,90345000.0,1444000.0,0.0159831756
KRW-BTC,2024-08-02 00:00:00+00:00,2024-08-02 09:00:00,91789000.0,92200000.0,86377000.0,86691000.0,1722643199912,453754064161.6217,5089.66250349,91789000.0,-5098000.0,-0.0555404242
KRW-BTC,2024-08-03 00:00:00+00:00,2024-08-03 09:00:00,86691000.0,87690000.0,85000000.0,85957000.0,1722729596587,350471535778.3624,4059.37513687,86691000.0,-734000.0,-0.0084668535
KRW-BTC,2024-08-04 00:00:00+00:00,2024-08-04 09:00:00,85954000.0,86311000.0,81684000.0,81871000.0,1722815999013,380290142556.4757,4532.63397761,85957000.0,-4086000.0,-0.0475353956
KRW-BTC,2024-08-05 00:00:00+00:00,2024-08-05 09:00:00,81871000.0,82256000.0,72100000.0,77833000.0,1722902399788,1828233999514.335,23878.79267178,81871000.0,-4038000.0,-0.0493214936
KRW-BTC,2024-08-06 00:00:00+00:00,2024-08-06 09:00:00,77786000.0,82150000.0,77782000.0,80224000.0,1722988798411,630449026117.0752,7868.46700086,77833000.0,2391000.0,0.0307196176
KRW-BTC,2024-08-07 00:00:00+00:00,2024-08-07 09:00:00,80166000.0,81950000.0,77782000.0,78388000.0,1723075198935,425826912725.80835,5316.47766092,80224000.0,-1836000.0,-0.0228859194
KRW-BTC,2024-08-08 00:00:00+00:00,2024-08-08 09:00:00,78386000.0,87980000.0,77941000.0,86397000.0,1723161600022,589875336679.084,7126.01269616,78388000.0,8009000.0,0.1021712507
KRW-BTC,2024-08-09 00:00:00+00:00,2024-08-09 09:00:00,86397000.0,86704000.0,84000000.0,85518000.0,1723247998906,332298406966.0832,3892.85974175,86397000.0,-879000.0,-0.0101739644
KRW-BTC,2024-08-10 00:00:00+00:00,2024-08-10 09:00:00,85522000.0,86370000.0,84760000.0,85669000.0,1723334399959,127296971385.76044,1489.63387466,85518000.0,151000.0,0.0017657101
KRW-BTC,2024-08-11 00:00:00+00:00,2024-08-11 09:00:00,85669000.0,86424000.0,82208000.0,82815000.0,1723420799993,225284918716.3791,2669.17265554,85669000.0,-2854000.0,-0.0333142677
KRW-BTC,2024-08-12 00:00:00+00:00,2024-08-12 09:00:00,82816000.0,85000000.0,81000000.0,83221000.0,1723507199678,420485878758.05646,5072.09672139,82815000.0,406000.0,0.0049024935
KRW-BTC,2024-08-13 00:00:00+00:00,2024-08-13 09:00:00,83207000.0,85770000.0,82050000.0,84600000.0,1723593599898,250426145464.81427,2989.81215206,83221000.0,1379000.0,0.0165703368
KRW-BTC,2024-08-14 00:00:00+00:00,2024-08-14 09:00:00,84587000.0,85950000.0,82218000.0,82457000.0,1723679999969,301026089757.4763,3583.12495297,84600000.0,-2143000.0,-0.0253309693
KRW-BTC,2024-08-15 00:00:00+00:00,2024-08-15 09:00:00,82440000.0,83555000.0,79500000.0,81004000.0,1723766399941,325801942348.10706,3986.43185704,82457000.0,-1453000.0,-0.0176213057
